ANO;MES ;Fecha;Masculino;Femenino;Indeterminado;hora1;dia1;dias1_6;dias7_27;dias28_29;meses1_5;meses6_11;ano1;anos2_4;anos5_9;anos10_14;anos15_19;anos20_24;anos25_29;anos30_34;anos35_39;anos40_44;anos45_49;anos50_54;anos55_59;anos60_64;anos65_69;anos70_74;anos75_79;anos80_84;anos85_89;anos90_94;anos95_99;anos100;edad_desconocida1;ano2_1;anos2_2;anos2_5_14anos;anos2_15_44;anos2_45_64;anos2_65_94;edad_desconocida2;preescolar;primaria;secundaria;media;media_tecnica;normalista;tecnica;tecnologica;profesional;especializacion;maestria;doctorado;ninguno;sin_informacion;ul_vive_pareja_mas2anos;ul_vive_pareja_menos2anos;divorciado;viudo;soltero;casado;sin_informacion;Contributivo;Subsidiado;Excepcion;Especial;No_asegurado;Sin_informacion_ss;ididmasalud1;ididmasalud2;ididmasalud3;ididmasalud4;ididmasalud5;ididmasalud9;;SEXO
2005;6;1/06/2005;131;32;0;;0;0;0;0;0;0;0;0;1;5;26;30;23;11;9;10;9;10;8;2;6;7;2;0;;;;;;0;0;6;109;29;15;4;;;;;;;;;;;;;;;;;;;;;;38;31;;;;;;;;;;;;
2005;7;1/07/2005;149;40;0;;0;0;0;0;0;0;0;0;0;10;40;30;28;12;8;14;9;8;5;6;8;3;2;4;;;;;;0;0;10;132;28;17;2;;;;;;;;;;;;;;;;;;;;;;53;39;;;;;;;;;;;;
2005;8;1/08/2005;125;35;0;;0;0;0;0;0;0;0;0;0;6;26;28;16;12;19;13;9;8;6;7;4;2;1;1;;;;;;0;0;6;114;30;8;2;;;;;;;;;;;;;;;;;;;;;;29;33;;;;;;;;;;;;
2005;9;1/09/2005;146;40;0;;0;0;0;0;0;0;0;0;0;8;22;41;18;20;7;9;7;14;9;5;1;10;6;1;;;;;;0;0;8;117;35;24;2;;;;;;;;;;;;;;;;;;;;;;33;43;;;;;;;;;;;;
2005;10;1/10/2005;128;42;0;;0;0;0;0;0;0;0;0;1;6;31;30;20;17;14;12;11;9;6;5;3;3;2;0;;;;;;0;0;7;124;31;8;0;;;;;;;;;;;;;;;;;;;;;;31;33;;;;;;;;;;;;
2005;11;1/11/2005;140;46;0;;0;0;0;0;0;0;0;0;0;5;35;34;19;20;11;12;15;9;9;4;3;4;2;3;;;;;;0;0;5;131;37;13;0;;;;;;;;;;;;;;;;;;;;;;40;37;;;;;;;;;;;;
2005;12;1/12/2005;161;36;0;;0;0;0;0;0;0;0;0;0;7;25;41;31;21;9;13;10;9;9;7;5;3;4;2;;;;;;0;0;7;140;35;15;0;;;;;;;;;;;;;;;;;;;;;;33;55;;;;;;;;;;;;
2006;1;1/01/2006;174;39;0;;0;0;0;0;0;0;0;0;0;6;37;34;29;17;9;15;15;14;11;2;5;6;7;2;;;;;;0;0;6;141;42;24;0;;;;;;;;;;;;;;;;;;;;;;34;58;;;;;;;;;;;;
2006;2;1/02/2006;127;32;0;;0;0;0;0;0;0;0;0;0;5;25;31;23;11;9;8;10;7;9;5;7;4;3;2;;;;;;0;0;5;107;31;16;0;;;;;;;;;;;;;;;;;;;;;;22;30;;;;;;;;;;;;
2006;3;1/03/2006;135;37;0;;0;0;0;0;0;0;0;0;0;2;27;24;25;18;14;14;12;9;3;6;8;3;1;2;;;;;;0;0;2;122;30;17;1;;;;;;;;;;;;;;;;;;;;;;32;40;;;;;;;;;;;;
2006;4;1/04/2006;137;39;0;;0;0;0;0;0;0;0;0;0;9;26;26;19;29;17;9;9;8;8;3;3;1;5;2;;;;;;0;0;9;126;28;11;2;;;;;;;;;;;;;;;;;;;;;;32;48;;;;;;;;;;;;
2006;5;1/05/2006;139;42;0;;0;0;0;0;0;0;0;0;1;5;28;38;29;16;8;10;6;9;6;7;9;3;2;0;;;;;;0;0;6;129;28;16;2;;;;;;;;;;;;;;;;;;;;;;19;50;;;;;;;;;;;;
